sheet,fieldName,fieldDefinition,fieldType,formatString,loopup,unit,minValue,maxValue
Location,site,MarineGEO site abbreviation,list,,,,,
Location,locationID,Unique code for each sampling location,string,,,,,
Location,locality,Local or common name of the sampling location,string,,,,,
Location,decimalLatitude,"Decimal Latitude hh.hhhhhhh, approximate",decimal,,,degree,-90,90
Location,decimalLongitude,"Decimal Longitude hh.hhhhhhh, approximate",decimal,,,degree,-180,180
Location,locationRemarks,Comments or notes about the Location,string,,,,,
Cover,locationID,Foreign key to the locationID defined on the Location sheet,fkey,,Location$locationID,,,
Cover,transectNumber,"Transect Number",integer,,,dimensionless,1,3
Cover,stopNumber,"Stop number along transect",integer,,,dimensionless,1,5
Cover,coverType,Type of cover,list,,,,,
Cover,ScientificName,"Lowest known taxon name",string,,,,,
Cover, percentCover, Percent cover of category,list,,,,,
Invertebrates,locationID,Foreign key to the locationID defined on the Location sheet,fkey,,Location$locationID,,,
Invertebrates,transectNumber,"Transect Number",integer,,,dimensionless,1,3
Invertebrates,stopNumber,"Stop number along transect",integer,,,dimensionless,1,5
Invertebrates,vernacularName,"A common or vernacular name",string,,,,,
Invertebrates,scientificName,"Lowest known taxon name",string,,,,,
Invertebrates,taxonRank,"The taxonomic rank of the most specific name in the scientificName.",list,,,,,
Invertebrates,speciesIdentifiedBy,"Full name (first last) of person(s) who identified the taxon, usually the person who collected the cover data in field.  Separate multiple names with semicolons.",string,,,,,
Invertebrates,bodyLength,Approximate size of the mobile benthic invertebrate in centimeters,decimal,,,centimeter,0,
Invertebrates,individualCount,Number of individuals in the quadrant,integer,,,dimensionless,1,
Shoots,locationID,Foreign key to the locationID defined on the Location sheet,fkey,,Location$locationID,,,
Shoots,transectNumber,"Transect Number",integer,,,dimensionless,1,3
Shoots,stopNumber,"Stop number along transect",integer,,,dimensionless,1,5
Shoots,totalShoots,"Total number of shoots in 0.25x0.25m subquadrat",integer,,,dimensionless,0,
Shoots,media,"File names of photos related to shoot characteristics, if collected.",string,,,,,
